"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"1","Surrey Hills",2,813000,"S","Fletchers",2016-01-28,11.2,"3127",1,2,76,1970,-37.8276,145.1023,"Southern Metropolitan",5457,66,"13,143","Whitehorse",1,2016
"2","Armadale",2,599000,"S","Jellis",2016-03-09,6.3,"3143",1,1,76,1964,-37.8543,145.0262,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"3","Ascot Vale",2,455000,"S","Nelson",2016-03-09,5.9,"3032",1,2,76,1974,-37.7756,144.9165,"Western Metropolitan",6567,75,"13,503","Moonee Valley",3,2016
"4","Bentleigh",2,636000,"S","hockingstuart",2016-03-09,13,"3204",1,2,76,1974,-37.9165,145.0259,"Southern Metropolitan",6795,75,"14,926","Glen Eira",3,2016
"5","Bentleigh",3,875000,"S","hockingstuart",2016-03-09,13,"3204",1,2,121,1950,-37.9273,145.0479,"Southern Metropolitan",6795,75,"14,926","Glen Eira",3,2016
"6","Brunswick",2,428000,"S","Brad",2016-03-09,5.2,"3056",1,2,76,1970,-37.7593,144.9652,"Northern Metropolitan",11918,84,"22,739","Moreland",3,2016
"7","Brunswick West",2,521500,"S","Peter",2016-03-09,5.9,"3055",1,1,69,1960,-37.768,144.9408,"Northern Metropolitan",7082,66,"13,171","Moreland",3,2016
"8","Bulleen",3,851000,"S","Jellis",2016-03-09,11.8,"3105",1,2,140,2000,-37.7599,145.0849,"Eastern Metropolitan",4480,59,"10,848","Manningham",3,2016
"9","Carnegie",3,820000,"S","Ray",2016-03-09,11.4,"3163",1,2,96,1989,-37.897,145.0623,"Southern Metropolitan",7822,75,"16,333","Glen Eira",3,2016
"10","Other",2,722500,"S","Gary",2016-03-09,8.9,"3162",1,1,100,1960,-37.8865,145.0302,"Southern Metropolitan",2379,73,"5,159","Glen Eira",3,2016
"11","Collingwood",2,1260000,"S","Jellis",2016-03-09,1.6,"3066",1,1,129,1900,-37.8042,144.9845,"Northern Metropolitan",4553,92,"6,490","Yarra",3,2016
"12","Doncaster",2,492500,"S","Barry",2016-03-09,13.9,"3108",1,1,76,1975,-37.7887,145.1438,"Eastern Metropolitan",9028,58,"18,372","Manningham",3,2016
"13","Elwood",1,520000,"S","Chisholm",2016-03-09,7.7,"3184",1,1,51,1930,-37.8761,144.9871,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"14","Essendon",2,550000,"VB","Nelson",2016-03-09,8,"3040",1,1,83,1980,-37.7575,144.9298,"Western Metropolitan",9264,71,"18,841","Moonee Valley",3,2016
"15","Essendon",2,660000,"S","Barry",2016-03-09,8,"3040",1,1,113,1980,-37.7418,144.8977,"Western Metropolitan",9264,71,"18,841","Moonee Valley",3,2016
"16","Essendon North",2,396000,"S","Barry",2016-03-09,9.4,"3041",1,1,56,1975,-37.7428,144.9086,"Western Metropolitan",1308,74,"2,292","Moonee Valley",3,2016
"17","Footscray",1,85000,"PI","Burnham",2016-03-09,6.4,"3011",1,0,49,2007,-37.7911,144.89,"Western Metropolitan",7570,78,"13,203","Maribyrnong",3,2016
"18","Hampton",2,587000,"S","Ray",2016-03-09,13.7,"3188",1,1,74,1975,-37.9419,145.0019,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"19","Hampton",2,895000,"S","hockingstuart",2016-03-09,13.7,"3188",1,1,87,1975,-37.9355,145.0008,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"20","Hampton",2,720000,"S","Buxton",2016-03-09,13.7,"3188",1,1,76,1970,-37.9387,145.0063,"Southern Metropolitan",5454,69,"12,459","Bayside",3,2016
"21","Hughesdale",2,516000,"S","Ray",2016-03-09,13,"3166",1,1,76,1970,-37.8967,145.0858,"Southern Metropolitan",3145,74,"7,062","Monash",3,2016
"22","Ivanhoe",2,480000,"VB","Miles",2016-03-09,7.9,"3079",1,1,76,1970,-37.77,145.0472,"Eastern Metropolitan",5549,71,"11,038","Banyule",3,2016
"23","Kew East",2,620000,"S","Nelson",2016-03-09,7.5,"3102",1,1,76,1970,-37.7971,145.0514,"Southern Metropolitan",2671,71,"6,026","Boroondara",3,2016
"24","Moonee Ponds",3,670000,"S","Nelson",2016-03-09,6.9,"3039",2,2,120,2000,-37.7672,144.9209,"Western Metropolitan",6232,75,"13,507","Moonee Valley",3,2016
"25","Moorabbin",1,380500,"S","Ray",2016-03-09,14.6,"3189",1,1,51,1990,-37.9374,145.0388,"Southern Metropolitan",2555,71,"5,298","Kingston",3,2016
"26","North Melbourne",1,491000,"SP","Nelson",2016-03-09,2.3,"3051",1,1,49,1990,-37.8044,144.9566,"Northern Metropolitan",6821,87,"11,733","Melbourne",3,2016
"27","Northcote",2,630000,"S","McGrath",2016-03-09,5.5,"3070",2,1,76,1975,-37.7679,144.9994,"Northern Metropolitan",11364,82,"22,914","Darebin",3,2016
"28","Port Melbourne",2,1100000,"S","Biggin",2016-03-09,3.8,"3207",2,1,76,2005,-37.8405,144.9319,"Southern Metropolitan",8648,84,"14,520","Port Phillip",3,2016
"29","Prahran",2,650000,"VB","Hodges",2016-03-09,4.5,"3181",1,1,76,1965,-37.85,145.0085,"Southern Metropolitan",7717,87,"11,171","Stonnington",3,2016
"30","Prahran",2,781000,"S","Other",2016-03-09,4.5,"3181",1,1,73,1930,-37.8511,145.0029,"Southern Metropolitan",7717,87,"11,171","Stonnington",3,2016
"31","Prahran",1,342000,"S","hockingstuart",2016-03-09,4.5,"3181",1,1,34,1960,-37.8486,144.9872,"Southern Metropolitan",7717,87,"11,171","Stonnington",3,2016
"32","Reservoir",3,475000,"S","Ray",2016-03-09,11.2,"3073",1,1,107,1990,-37.7019,145.0256,"Northern Metropolitan",21650,60,"47,517","Darebin",3,2016
"33","Reservoir",2,415000,"PI","Ray",2016-03-09,11.2,"3073",1,1,84,2012,-37.708,145.0181,"Northern Metropolitan",21650,60,"47,517","Darebin",3,2016
"34","Richmond",2,795250,"S","hockingstuart",2016-03-09,2.6,"3121",1,2,85,1997,-37.8164,145.0136,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"35","Richmond",2,582000,"S","Biggin",2016-03-09,2.6,"3121",1,1,75,2001,-37.824,144.9918,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"36","Richmond",1,5e+05,"SP","Other",2016-03-09,2.6,"3121",1,1,49,2005,-37.8226,145.013,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"37","Richmond",2,540000,"PI","LITTLE",2016-03-09,2.6,"3121",2,1,76,2005,-37.8195,145.0103,"Northern Metropolitan",14949,90,"23,838","Yarra",3,2016
"38","South Melbourne",2,593000,"S","Dingle",2016-03-09,2.1,"3205",2,1,83,2012,-37.8341,144.9713,"Southern Metropolitan",5943,92,"9,318","Port Phillip",3,2016
"39","South Yarra",1,467500,"SP","McGrath",2016-03-09,3.3,"3141",1,1,49,1970,-37.8363,145.0003,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"40","South Yarra",2,722000,"SP","Jellis",2016-03-09,3.3,"3141",1,1,86,2003,-37.8393,144.9886,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"41","South Yarra",2,475000,"PI","Buxton",2016-03-09,3.3,"3141",1,0,76,1970,-37.8391,144.9984,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"42","South Yarra",1,430000,"S","hockingstuart",2016-03-09,3.3,"3141",1,1,49,1970,-37.8351,144.9909,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"43","South Yarra",2,930000,"S","hockingstuart",2016-03-09,3.3,"3141",2,2,76,2000,-37.8361,144.9966,"Southern Metropolitan",14887,92,"19,186","Stonnington",3,2016
"44","Southbank",3,720000,"S","Other",2016-03-09,1.2,"3006",1,1,106,1993,-37.8235,144.9655,"Southern Metropolitan",8400,91,"11,254","Melbourne",3,2016
"45","St Kilda",2,509000,"S","hockingstuart",2016-03-09,6.1,"3182",1,1,76,1970,-37.8679,144.9813,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"46","St Kilda",1,380000,"PI","McGrath",2016-03-09,6.1,"3182",1,1,50,1960,-37.8656,144.9782,"Southern Metropolitan",13240,93,"17,802","Port Phillip",3,2016
"47","Sunshine",2,260000,"PI","Douglas",2016-03-09,12.6,"3020",1,1,76,1970,-37.7952,144.8262,"Western Metropolitan",3755,71,"8,849","Brimbank",3,2016
"48","Thornbury",3,510000,"VB","Jellis",2016-03-09,6.5,"3071",1,1,114.5,1970,-37.7591,145.0211,"Northern Metropolitan",8870,77,"17,473","Darebin",3,2016
"49","Windsor",2,580000,"VB","Jellis",2016-03-09,5.1,"3181",2,1,78,2012,-37.8558,144.9903,"Southern Metropolitan",4380,91,"7,051","Port Phillip",3,2016
"50","Aberfeldie",1,380000,"S","Nelson",2016-03-12,9.1,"3040",1,1,39,1990,-37.7561,144.9028,"Western Metropolitan",1543,60,"3,623","Moonee Valley",3,2016
"51","Armadale",3,995000,"S","Marshall",2016-03-12,6.3,"3143",2,2,100,1998,-37.8552,145.016,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"52","Armadale",2,550000,"VB","Noel",2016-03-12,6.3,"3143",1,0,76,1970,-37.8539,145.0284,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"53","Armadale",1,421500,"S","Biggin",2016-03-12,6.3,"3143",1,0,49,1970,-37.853,145.0167,"Southern Metropolitan",4836,74,"8,732","Stonnington",3,2016
"54","Ascot Vale",2,467000,"SP","Brad",2016-03-12,5.9,"3032",1,1,62,1980,-37.7761,144.9201,"Western Metropolitan",6567,75,"13,503","Moonee Valley",3,2016
"55","Balaclava",2,410000,"PI","hockingstuart",2016-03-12,6.6,"3183",1,2,61,1965,-37.8731,144.9958,"Southern Metropolitan",2952,88,"5,421","Port Phillip",3,2016
"56","Balwyn",2,806000,"S","Noel",2016-03-12,9.7,"3103",1,1,97,1977,-37.8124,145.0916,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"57","Balwyn",3,1070000,"SA","Philip",2016-03-12,9.7,"3103",2,2,112,1998,-37.8161,145.0812,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"58","Bentleigh East",1,580000,"S","Woodards",2016-03-12,13.9,"3165",1,1,49,1996,-37.9181,145.0586,"Southern Metropolitan",10969,59,"25,928","Glen Eira",3,2016
