"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"1","Surrey Hills",3,1205000,"S","Fletchers",2016-01-28,11.2,"3127",1,2,490,130,1930,-37.8361,145.1006,"Southern Metropolitan",5457,66,"13,143","Whitehorse",1,2016
"2","Albert Park",2,1455000,"S","Thomson",2016-03-09,3.3,"3206",1,0,159,96,1900,-37.845,144.9538,"Southern Metropolitan",3280,85,"5,989","Port Phillip",3,2016
"3","Albert Park",2,1275000,"S","hockingstuart",2016-03-09,3.3,"3206",1,0,120,82,1900,-37.8459,144.9555,"Southern Metropolitan",3280,85,"5,989","Port Phillip",3,2016
"4","Alphington",3,1110000,"S","Jellis",2016-03-09,6.4,"3078",2,2,208,130,2013,-37.7854,145.0325,"Northern Metropolitan",2211,69,"4,573","Yarra",3,2016
"5","Alphington",4,2e+06,"S","Other",2016-03-09,6.4,"3078",2,4,853,263,1930,-37.7707,145.0318,"Northern Metropolitan",2211,69,"4,573","Darebin",3,2016
"6","Altona",3,520000,"VB","Greg",2016-03-09,13.8,"3018",2,1,352,242,2015,-37.87,144.825,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",3,2016
"7","Altona North",3,781000,"S","Jas",2016-03-09,11.1,"3025",1,2,533,117,1970,-37.8291,144.835,"Western Metropolitan",5132,60,"11,386","Hobsons Bay",3,2016
"8","Altona North",5,1085000,"S","Other",2016-03-09,11.1,"3025",3,6,592,251,1965,-37.8388,144.8567,"Western Metropolitan",5132,60,"11,386","Hobsons Bay",3,2016
"9","Ashwood",2,995000,"S","Other",2016-03-09,12.2,"3147",1,1,583,96,1950,-37.8693,145.1082,"Southern Metropolitan",2894,63,"6,091","Monash",3,2016
"10","Avondale Heights",3,850000,"S","Moonee",2016-03-09,10.5,"3034",1,1,593,118,1970,-37.7677,144.8674,"Western Metropolitan",4502,59,"11,015","Moonee Valley",3,2016
"11","Avondale Heights",3,750000,"SP","Moonee",2016-03-09,10.5,"3034",1,1,0,103,1980,-37.7634,144.8611,"Western Metropolitan",4502,59,"11,015","Moonee Valley",3,2016
"12","Balaclava",4,1819000,"S","Gary",2016-03-09,6.6,"3183",2,1,244,180,1900,-37.8668,144.9928,"Southern Metropolitan",2952,88,"5,421","Port Phillip",3,2016
"13","Balwyn",2,2100000,"S","Marshall",2016-03-09,9.7,"3103",1,1,659,123,1920,-37.8094,145.0807,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"14","Balwyn",4,1800000,"VB","Marshall",2016-03-09,9.7,"3103",2,2,715,218,1985,-37.811,145.0958,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"15","Balwyn North",2,1080000,"S","Jellis",2016-03-09,9.2,"3104",1,1,253,96,1960,-37.7912,145.085,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"16","Balwyn North",4,3230000,"S","Jellis",2016-03-09,9.2,"3104",4,3,1135,275,1960,-37.8014,145.0892,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"17","Balwyn North",3,1500000,"PI","Jellis",2016-03-09,9.2,"3104",2,1,778,154,1950,-37.7939,145.0789,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"18","Bentleigh",2,1275000,"S","Woodards",2016-03-09,13,"3204",1,2,599,96,1950,-37.925,145.046,"Southern Metropolitan",6795,75,"14,926","Glen Eira",3,2016
"19","Bentleigh East",2,825000,"S","Buxton",2016-03-09,13.9,"3165",2,1,176,125,2008,-37.9237,145.0763,"Southern Metropolitan",10969,59,"25,928","Glen Eira",3,2016
"20","Bentleigh East",2,1410000,"S","hockingstuart",2016-03-09,13.9,"3165",1,2,768,96,1960,-37.9305,145.0547,"Southern Metropolitan",10969,59,"25,928","Glen Eira",3,2016
"21","Box Hill",4,1620000,"S","hockingstuart",2016-03-09,13.1,"3128",2,2,697,255,1940,-37.8151,145.135,"Eastern Metropolitan",4605,72,"9,706","Whitehorse",3,2016
"22","Braybrook",3,870000,"S","Barry",2016-03-09,10.8,"3019",2,4,700,130,1960,-37.7824,144.8469,"Western Metropolitan",3589,65,"8,190","Maribyrnong",3,2016
"23","Braybrook",2,645000,"S","Barry",2016-03-09,10.8,"3019",1,1,566,75,1950,-37.7839,144.8524,"Western Metropolitan",3589,65,"8,190","Maribyrnong",3,2016
"24","Brighton",3,1635000,"S","Buxton",2016-03-09,11.2,"3186",1,2,366,156,1920,-37.9038,145.0001,"Southern Metropolitan",10579,75,"21,267","Bayside",3,2016
"25","Brighton",3,1550000,"VB","Buxton",2016-03-09,11.2,"3186",2,2,663,130,1940,-37.9159,145.0068,"Southern Metropolitan",10579,75,"21,267","Bayside",3,2016
"26","Brighton East",3,930000,"SP","Marshall",2016-03-09,10.7,"3187",1,1,329,117,1930,-37.9317,145.0218,"Southern Metropolitan",6938,63,"15,807","Bayside",3,2016
"27","Brighton East",4,1850000,"S","Nick",2016-03-09,10.7,"3187",2,2,617,268,1940,-37.9187,145.007,"Southern Metropolitan",6938,63,"15,807","Bayside",3,2016
"28","Brighton East",4,1940000,"S","hockingstuart",2016-03-09,10.7,"3187",2,2,682,240,1960,-37.9205,145.0122,"Southern Metropolitan",6938,63,"15,807","Bayside",3,2016
"29","Brunswick",2,1026000,"S","Nelson",2016-03-09,5.2,"3056",1,0,225,108,1905,-37.7676,144.9665,"Northern Metropolitan",11918,84,"22,739","Moreland",3,2016
"30","Bulleen",4,1300000,"S","Jellis",2016-03-09,11.8,"3105",1,2,717,180,1960,-37.7608,145.0862,"Eastern Metropolitan",4480,59,"10,848","Manningham",3,2016
"31","Bulleen",4,1110000,"PI","Barry",2016-03-09,11.8,"3105",2,2,562,190,1970,-37.7628,145.0994,"Eastern Metropolitan",4480,59,"10,848","Manningham",3,2016
"32","Bulleen",4,1235000,"S","Jellis",2016-03-09,11.8,"3105",2,2,556,214,1957,-37.7657,145.0957,"Eastern Metropolitan",4480,59,"10,848","Manningham",3,2016
"33","Burwood",5,1590000,"S","Jellis",2016-03-09,11.7,"3125",3,2,661,253,1940,-37.848,145.098,"Southern Metropolitan",5678,59,"13,172","Whitehorse",3,2016
"34","Camberwell",4,3225000,"SA","RT",2016-03-09,7.8,"3124",3,2,934,190,1939,-37.8496,145.0869,"Southern Metropolitan",8920,66,"20,022","Boroondara",3,2016
"35","Camberwell",4,2650000,"S","Jellis",2016-03-09,7.8,"3124",2,1,652,189,1890,-37.8286,145.0686,"Southern Metropolitan",8920,66,"20,022","Boroondara",3,2016
"36","Canterbury",4,2950000,"S","Marshall",2016-03-09,9,"3126",2,2,687,215,1935,-37.8186,145.0706,"Southern Metropolitan",3265,72,"7,856","Boroondara",3,2016
"37","Carlton North",3,1330000,"VB","Nelson",2016-03-09,3.2,"3054",1,1,314,130,1900,-37.7871,144.9766,"Northern Metropolitan",3106,88,"6,249","Yarra",3,2016
"38","Caulfield North",3,1750000,"S","Marshall",2016-03-09,8.1,"3161",2,2,692,313,1955,-37.8629,145.019,"Southern Metropolitan",6923,67,"14,597","Glen Eira",3,2016
"39","Caulfield North",3,1365000,"S","McGrath",2016-03-09,8.1,"3161",1,0,513,130,1910,-37.8678,145.027,"Southern Metropolitan",6923,67,"14,597","Glen Eira",3,2016
"40","Caulfield South",3,1577500,"S","hockingstuart",2016-03-09,9.3,"3162",2,2,357,144,1935,-37.8896,145.0307,"Southern Metropolitan",5051,70,"11,292","Glen Eira",3,2016
"41","Clifton Hill",3,1270000,"S","Nelson",2016-03-09,3.4,"3068",2,0,187,130,1900,-37.7902,144.9894,"Northern Metropolitan",2954,85,"5,782","Yarra",3,2016
"42","Coburg",3,784000,"S","Nelson",2016-03-09,7.8,"3058",1,1,286,110,1890,-37.7427,144.952,"Northern Metropolitan",11204,71,"24,996","Moreland",3,2016
"43","Coburg",2,850000,"SP","Brad",2016-03-09,7.8,"3058",1,1,371,93,1930,-37.735,144.9589,"Northern Metropolitan",11204,71,"24,996","Moreland",3,2016
"44","Collingwood",2,890000,"S","LITTLE",2016-03-09,1.6,"3066",1,1,178,70,1900,-37.7974,144.9915,"Northern Metropolitan",4553,92,"6,490","Yarra",3,2016
"45","Doncaster",4,1924500,"S","Barry",2016-03-09,13.9,"3108",4,2,1157,190,1970,-37.7779,145.127,"Eastern Metropolitan",9028,58,"18,372","Manningham",3,2016
"46","Elsternwick",2,9e+05,"VB","Gary",2016-03-09,8.5,"3185",1,2,239,110,1940,-37.8845,144.999,"Southern Metropolitan",4898,83,"9,772","Glen Eira",3,2016
"47","Essendon",3,1425000,"S","Jellis",2016-03-09,8,"3040",2,2,684,147,1950,-37.7585,144.9317,"Western Metropolitan",9264,71,"18,841","Moonee Valley",3,2016
"48","Fairfield",3,1250000,"VB","Jellis",2016-03-09,5.8,"3078",2,0,327,144,1910,-37.7723,145.0179,"Northern Metropolitan",2970,72,"5,937","Darebin",3,2016
"49","Fitzroy",3,1252000,"S","Nelson",2016-03-09,1.6,"3065",2,2,0,137,2004,-37.8029,144.975,"Northern Metropolitan",5825,96,"9,420","Yarra",3,2016
"50","Fitzroy",2,1e+06,"S","Nelson",2016-03-09,1.6,"3065",1,0,128,96,1895,-37.7941,144.9802,"Northern Metropolitan",5825,96,"9,420","Yarra",3,2016
"51","Fitzroy North",2,860000,"S","Woodards",2016-03-09,3.5,"3068",1,0,104,70,1880,-37.7927,144.9796,"Northern Metropolitan",6244,93,"11,451","Yarra",3,2016
