"","Suburb","Type","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","CouncilArea","Month","Year"
"1","Surrey Hills","u",2,813000,"S","Fletchers",2016-01-28,11.2,"3127",1,2,108,76,1970,-37.8276,145.1023,"Southern Metropolitan",5457,"Whitehorse",1,2016
"2","Surrey Hills","h",3,1205000,"S","Fletchers",2016-01-28,11.2,"3127",1,2,490,130,1930,-37.8361,145.1006,"Southern Metropolitan",5457,"Whitehorse",1,2016
"3","Airport West","t",3,840000,"PI","Nelson",2016-03-09,13.5,"3042",2,1,303,225,2016,-37.718,144.878,"Western Metropolitan",3464,"Moonee Valley",3,2016
"4","Albert Park","h",2,1275000,"S","hockingstuart",2016-03-09,3.3,"3206",1,0,120,82,1900,-37.8459,144.9555,"Southern Metropolitan",3280,"Port Phillip",3,2016
"5","Albert Park","h",2,1455000,"S","Thomson",2016-03-09,3.3,"3206",1,0,159,96,1900,-37.845,144.9538,"Southern Metropolitan",3280,"Port Phillip",3,2016
"6","Alphington","h",4,2e+06,"S","Other",2016-03-09,6.4,"3078",2,4,853,263,1930,-37.7707,145.0318,"Northern Metropolitan",2211,"Darebin",3,2016
"7","Alphington","h",3,1110000,"S","Jellis",2016-03-09,6.4,"3078",2,2,208,130,2013,-37.7854,145.0325,"Northern Metropolitan",2211,"Yarra",3,2016
"8","Altona","h",3,520000,"VB","Greg",2016-03-09,13.8,"3018",2,1,352,242,2015,-37.87,144.825,"Western Metropolitan",5301,"Hobsons Bay",3,2016
"9","Altona North","h",3,781000,"S","Jas",2016-03-09,11.1,"3025",1,2,533,117,1970,-37.8291,144.835,"Western Metropolitan",5132,"Hobsons Bay",3,2016
"10","Altona North","h",5,1085000,"S","Other",2016-03-09,11.1,"3025",3,6,592,251,1965,-37.8388,144.8567,"Western Metropolitan",5132,"Hobsons Bay",3,2016
"11","Armadale","u",2,599000,"S","Jellis",2016-03-09,6.3,"3143",1,1,0,76,1964,-37.8543,145.0262,"Southern Metropolitan",4836,"Stonnington",3,2016
"12","Ascot Vale","u",2,455000,"S","Nelson",2016-03-09,5.9,"3032",1,2,0,76,1974,-37.7756,144.9165,"Western Metropolitan",6567,"Moonee Valley",3,2016
"13","Ashwood","h",2,995000,"S","Other",2016-03-09,12.2,"3147",1,1,583,96,1950,-37.8693,145.1082,"Southern Metropolitan",2894,"Monash",3,2016
"14","Avondale Heights","h",3,750000,"SP","Moonee",2016-03-09,10.5,"3034",1,1,0,103,1980,-37.7634,144.8611,"Western Metropolitan",4502,"Moonee Valley",3,2016
"15","Avondale Heights","h",3,850000,"S","Moonee",2016-03-09,10.5,"3034",1,1,593,118,1970,-37.7677,144.8674,"Western Metropolitan",4502,"Moonee Valley",3,2016
"16","Balaclava","h",4,1819000,"S","Gary",2016-03-09,6.6,"3183",2,1,244,180,1900,-37.8668,144.9928,"Southern Metropolitan",2952,"Port Phillip",3,2016
"17","Balwyn","h",2,2100000,"S","Marshall",2016-03-09,9.7,"3103",1,1,659,123,1920,-37.8094,145.0807,"Southern Metropolitan",5682,"Boroondara",3,2016
"18","Balwyn","h",4,1800000,"VB","Marshall",2016-03-09,9.7,"3103",2,2,715,218,1985,-37.811,145.0958,"Southern Metropolitan",5682,"Boroondara",3,2016
"19","Balwyn","t",2,1255000,"S","Noel",2016-03-09,9.7,"3103",1,1,208,129,2000,-37.8128,145.0975,"Southern Metropolitan",5682,"Boroondara",3,2016
"20","Balwyn North","h",3,1500000,"PI","Jellis",2016-03-09,9.2,"3104",2,1,778,154,1950,-37.7939,145.0789,"Southern Metropolitan",7809,"Boroondara",3,2016
"21","Balwyn North","h",2,1080000,"S","Jellis",2016-03-09,9.2,"3104",1,1,253,96,1960,-37.7912,145.085,"Southern Metropolitan",7809,"Boroondara",3,2016
"22","Balwyn North","h",4,3230000,"S","Jellis",2016-03-09,9.2,"3104",4,3,1135,275,1960,-37.8014,145.0892,"Southern Metropolitan",7809,"Boroondara",3,2016
"23","Balwyn North","t",3,1315000,"S","hockingstuart",2016-03-09,9.2,"3104",2,2,260,167,2000,-37.7966,145.1021,"Southern Metropolitan",7809,"Boroondara",3,2016
"24","Bentleigh","u",2,636000,"S","hockingstuart",2016-03-09,13,"3204",1,2,202,76,1974,-37.9165,145.0259,"Southern Metropolitan",6795,"Glen Eira",3,2016
"25","Bentleigh","u",3,875000,"S","hockingstuart",2016-03-09,13,"3204",1,2,348,121,1950,-37.9273,145.0479,"Southern Metropolitan",6795,"Glen Eira",3,2016
"26","Bentleigh","t",3,895000,"PI","Ray",2016-03-09,13,"3204",2,2,362,135,1997,-37.9336,145.043,"Southern Metropolitan",6795,"Glen Eira",3,2016
"27","Bentleigh","h",2,1275000,"S","Woodards",2016-03-09,13,"3204",1,2,599,96,1950,-37.925,145.046,"Southern Metropolitan",6795,"Glen Eira",3,2016
"28","Bentleigh East","t",3,760000,"PI","hockingstuart",2016-03-09,13.9,"3165",1,2,287,135,2008,-37.9261,145.0566,"Southern Metropolitan",10969,"Glen Eira",3,2016
