,Suburb,Walk Score,Population
0,Carlton,97,"13,505"
1,Fitzroy,96,"9,420"
2,Fitzroy North,93,"11,451"
3,Melbourne,93,"28,353"
4,St Kilda,93,"17,802"
5,South Yarra,92,"19,186"
6,East Melbourne,92,"4,679"
7,South Melbourne,92,"9,318"
8,Collingwood,92,"6,490"
9,Windsor,91,"7,051"
10,Southbank,91,"11,254"
11,Richmond,90,"23,838"
12,Cremorne,89,"1,572"
13,West Melbourne,89,"3,758"
14,St Kilda West,89,"2,853"
15,Carlton North,88,"6,249"
16,Balaclava,88,"5,421"
17,North Melbourne,87,"11,733"
18,Prahran,87,"11,171"
19,Ripponlea,87,"1,472"
20,Docklands,86,"5,778"
21,Albert Park,85,"5,989"
22,Clifton Hill,85,"5,782"
23,Hawthorn,85,"21,138"
24,Abbotsford,84,"4,922"
25,Brunswick,84,"22,739"
26,Elwood,84,"14,644"
27,Port Melbourne,84,"14,520"
28,Hawthorn East,83,"13,113"
29,Elsternwick,83,"9,772"
30,Brunswick East,83,"8,502"
31,Kensington,82,"9,689"
32,Northcote,82,"22,914"
33,Princes Hill,80,"2,076"
34,Seddon,80,"4,860"
35,Middle Park,80,"4,042"
36,Malvern,80,"9,494"
37,Parkville,79,"6,193"
38,Footscray,78,"13,203"
39,Yarraville,77,"13,811"
40,Thornbury,77,"17,473"
41,Malvern East,77,"20,028"
42,Flemington,76,"7,512"
43,Glen Huntly,76,"4,672"
44,Ascot Vale,75,"13,503"
45,Carnegie,75,"16,333"
46,St Kilda East,75,"12,555"
47,Caulfield East,75,"1,238"
48,Brighton,75,"21,267"
49,Deepdene,75,"2,397"
50,Moonee Ponds,75,"13,507"
51,Bentleigh,75,"14,926"
52,Toorak,74,"12,832"
53,Armadale,74,"8,732"
54,Hughesdale,74,"7,062"
55,Essendon North,74,"2,292"
56,Highett,73,"10,281"
57,McKinnon,73,"5,559"
58,Oakleigh,73,"7,540"
59,Gardenvale,73,958
60,Travancore,73,"1,685"
61,Caulfield,73,"5,159"
62,Blackburn,73,"12,789"
63,Preston,73,"29,893"
64,Ormond,72,"7,707"
65,Fairfield,72,"5,937"
66,Balwyn,72,"12,945"
67,Canterbury,72,"7,856"
68,Forest Hill,72,"10,034"
69,Box Hill,72,"9,706"
70,Kew East,71,"6,026"
71,Cheltenham,71,"20,273"
72,Murrumbeena,71,"8,573"
73,Moorabbin,71,"5,298"
74,Kew,71,"23,871"
75,Sunshine,71,"8,849"
76,Ivanhoe,71,"11,038"
77,Coburg,71,"24,996"
78,Kooyong,71,805
79,Essendon,71,"18,841"
80,Williamstown,71,"13,183"
81,Newport,70,"12,028"
82,Kingsville,70,"3,525"
83,Caulfield South,70,"11,292"
84,Maribyrnong,70,"10,135"
85,Burnley,70,738
86,Parkdale,70,"11,152"
87,Bellfield,70,"1,719"
88,Strathmore,69,"8,101"
89,Clayton,69,"15,547"
90,Mont Albert,69,"4,961"
91,Watsonia,69,"5,146"
92,Hampton,69,"12,459"
93,Alphington,69,"4,573"
94,Mentone,68,"11,628"
95,Ashburton,68,"7,577"
96,Sandringham,68,"9,303"
97,Tullamarine,68,"6,280"
98,Heidelberg West,68,"5,335"
99,Hampton East,67,"4,403"
100,Caulfield North,67,"14,597"
101,Montmorency,66,"8,768"
102,Chelsea,66,"7,223"
103,Camberwell,66,"20,022"
104,Surrey Hills,66,"13,143"
105,Chadstone,66,"7,825"
106,Brunswick West,66,"13,171"
107,Springvale,66,"19,818"
108,Mordialloc,66,"7,530"
109,Spotswood,66,"2,347"
110,Braybrook,65,"8,190"
111,Glen Iris,65,"24,992"
112,Mitcham,64,"14,829"
113,Eaglemont,64,"3,915"
114,West Footscray,64,"10,215"
115,Heidelberg,64,"5,733"
116,Ivanhoe East,64,"3,790"
117,Heidelberg Heights,64,"6,410"
118,Beaumaris,64,"12,783"
119,Dandenong,64,"24,925"
120,Gladstone Park,64,"8,328"
121,Ashwood,63,"6,091"
122,Ringwood,63,"16,044"
123,Nunawading,63,"10,925"
124,Altona,63,"9,916"
125,Brighton East,63,"15,807"
126,Blackburn South,63,"10,589"
127,Wantirna,63,"13,766"
128,Oakleigh East,62,"5,972"
129,Huntingdale,62,"1,782"
130,Maidstone,62,"7,768"
131,Rosanna,62,"7,892"
132,Jacana,62,"1,935"
133,Mount Waverley,62,"32,063"
134,Coburg North,62,"6,574"
135,Box Hill South,61,"7,695"
136,Niddrie,61,"4,851"
137,Boronia,61,"20,830"
138,Belgrave,61,"3,972"
139,Bayswater,61,"11,263"
140,Williamstown North,61,"1,543"
141,Balwyn North,61,"20,345"
142,Aberfeldie,60,"3,623"
143,Reservoir,60,"47,517"
144,Eumemmerring,60,"1,877"
145,Notting Hill,60,"2,150"
146,Mulgrave,60,"17,637"
147,Altona North,60,"11,386"
148,Glen Waverley,59,"39,227"
149,Bentleigh East,59,"25,928"
150,Pascoe Vale,59,"14,871"
151,Scoresby,59,"5,879"
152,South Kingsville,59,"1,829"
153,Kingsbury,59,"3,380"
154,Black Rock,59,"5,937"
155,Bulleen,59,"10,848"
156,Pascoe Vale South,59,"9,516"
157,Avondale Heights,59,"11,015"
158,Burwood East,59,"10,158"
159,Burwood,59,"13,172"
160,Croydon,58,"23,549"
161,Strathmore Heights,58,938
162,Airport West,58,"6,954"
163,Doncaster East,58,"27,069"
164,Doncaster,58,"18,372"
165,Mont Albert North,58,"5,080"
166,Brooklyn,58,"1,647"
167,Bonbeach,58,"5,705"
168,Vermont South,58,"11,427"
169,Keilor Park,57,"2,546"
170,Box Hill North,57,"11,005"
171,Wantirna South,57,"17,511"
172,Seaholme,57,"1,849"
173,Keilor Lodge,57,"1,753"
174,Blackburn North,57,"7,041"
175,Knoxfield,57,"7,109"
176,Ringwood East,57,"9,737"
177,Fawkner,56,"12,589"
178,Heatherton,56,"2,759"
179,Ferntree Gully,56,"25,561"
180,Broadmeadows,56,"10,549"
181,Vermont,56,"9,909"
182,Dallas,56,"6,497"
183,Sunshine North,56,"10,659"
184,Aspendale,55,"6,592"
185,Macleod,55,"9,622"
186,Heathmont,55,"9,226"
187,Frankston,55,"35,035"
188,Oak Park,55,"5,751"
189,Greensborough,55,"20,560"
190,Keilor East,55,"13,234"
191,Lower Plenty,54,"3,800"
192,Sydenham,54,"10,308"
193,Glenroy,54,"19,671"
194,Cairnlea,54,"8,837"
195,Mornington,54,"22,477"
196,Briar Hill,54,"3,072"
197,Carrum,54,"3,589"
198,Doveton,53,"8,433"
199,Carrum Downs,53,"19,122"
200,Albion,53,"4,322"
201,Clayton South,53,"11,631"
202,Wheelers Hill,53,"19,091"
203,Chelsea Heights,53,"5,182"
204,Edithvale,53,"5,466"
205,Bundoora,52,"25,652"
206,St Albans,52,"35,046"
207,Tecoma,52,"2,085"
208,Seaford,51,"16,049"
209,Hadfield,51,"5,355"
210,Eltham,51,"18,183"
211,Oakleigh South,50,"9,126"
212,Laverton,50,"4,074"
213,Mill Park,50,"30,550"
214,Lalor,50,"19,853"
215,Clarinda,50,"7,449"
216,Frankston North,50,"5,615"
217,Deer Park,49,"16,246"
218,Noble Park North,49,"7,380"
219,Templestowe Lower,49,"13,206"
220,Taylors Lakes,49,"16,094"
221,Keysborough,49,"19,894"
222,Campbellfield,49,"5,462"
223,Sunshine West,49,"16,759"
224,Croydon South,49,"4,552"
225,Ringwood North,48,"9,665"
226,Upper Ferntree Gully,48,"3,230"
227,Bayswater North,48,"8,457"
228,Yallambie,48,"4,133"
229,Thomastown,48,"20,299"
230,Noble Park,48,"28,395"
231,Rowville,47,"34,094"
232,Gowanbrae,47,"2,752"
233,Westmeadows,47,"5,514"
234,Aspendale Gardens,46,"6,581"
235,Dingley Village,46,"10,211"
236,Templestowe,46,"16,487"
237,Springvale South,46,"12,179"
238,Patterson Lakes,46,"7,579"
239,Hastings,46,"8,267"
240,Somerville,45,"10,120"
241,Keilor,45,"5,742"
242,Kilsyth,45,"10,054"
243,Research,44,"2,255"
244,Skye,44,"7,503"
245,The Basin,44,"4,238"
246,Beaconsfield,44,"5,882"
