"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"1","Airport West",3,840000,"PI","Nelson",2016-03-09,13.5,"3042",2,1,303,225,2016,-37.718,144.878,"Western Metropolitan",3464,58,"6,954","Moonee Valley",3,2016
"2","Balwyn",2,1255000,"S","Noel",2016-03-09,9.7,"3103",1,1,208,129,2000,-37.8128,145.0975,"Southern Metropolitan",5682,72,"12,945","Boroondara",3,2016
"3","Balwyn North",3,1315000,"S","hockingstuart",2016-03-09,9.2,"3104",2,2,260,167,2000,-37.7966,145.1021,"Southern Metropolitan",7809,61,"20,345","Boroondara",3,2016
"4","Bentleigh",3,895000,"PI","Ray",2016-03-09,13,"3204",2,2,362,135,1997,-37.9336,145.043,"Southern Metropolitan",6795,75,"14,926","Glen Eira",3,2016
"5","Bentleigh East",3,760000,"PI","hockingstuart",2016-03-09,13.9,"3165",1,2,287,135,2008,-37.9261,145.0566,"Southern Metropolitan",10969,59,"25,928","Glen Eira",3,2016
"6","Camberwell",3,1615000,"S","Marshall",2016-03-09,7.8,"3124",1,2,389,135,1998,-37.8435,145.0695,"Southern Metropolitan",8920,66,"20,022","Boroondara",3,2016
"7","Carnegie",2,795000,"S","Gary",2016-03-09,11.4,"3163",2,1,133,104,2009,-37.8911,145.0539,"Southern Metropolitan",7822,75,"16,333","Glen Eira",3,2016
"8","Chadstone",3,752000,"S","Buxton",2016-03-09,13.6,"3148",2,1,182,135,2012,-37.8786,145.1015,"Southern Metropolitan",3582,66,"7,825","Monash",3,2016
"9","Collingwood",2,750000,"S","Jellis",2016-03-09,1.6,"3066",1,1,115,100,1998,-37.7968,144.9891,"Northern Metropolitan",4553,92,"6,490","Yarra",3,2016
"10","Elwood",3,1350000,"S","hockingstuart",2016-03-09,7.7,"3184",2,2,1170,135,2008,-37.8831,144.9801,"Southern Metropolitan",8989,84,"14,644","Port Phillip",3,2016
"11","Footscray",3,585000,"S","Nelson",2016-03-09,6.4,"3011",1,1,259,135,2010,-37.7955,144.9063,"Western Metropolitan",7570,78,"13,203","Maribyrnong",3,2016
"12","Gowanbrae",3,532000,"S","Nelson",2016-03-09,13.6,"3043",2,1,149,19,2005,-37.7068,144.8963,"Western Metropolitan",1071,47,"2,752","Moreland",3,2016
"13","Maidstone",3,615000,"S","Jas",2016-03-09,9.2,"3012",2,2,165,161,2007,-37.7773,144.8725,"Western Metropolitan",3873,62,"7,768","Maribyrnong",3,2016
"14","Niddrie",3,830000,"S","Barry",2016-03-09,11.2,"3042",3,2,303,236,2013,-37.742,144.8885,"Western Metropolitan",2291,61,"4,851","Moonee Valley",3,2016
